Sample	mapped_passed	duplicates_failed	secondary_passed	paired in sequencing_failed	duplicates_passed	read2_passed	read1_failed	read1_passed	with mate mapped to a different chr_passed	total_failed	properly paired_passed_pct	singletons_passed	supplementary_passed	singletons_passed_pct	mapped_failed_pct	mapped_passed_pct	supplementary_failed	with itself and mate mapped_failed	mapped_failed	total_passed	properly paired_failed	flagstat_total	with mate mapped to a different chr (mapQ >= 5)_passed	properly paired_failed_pct	with mate mapped to a different chr (mapQ >= 5)_failed	with itself and mate mapped_passed	read2_failed	with mate mapped to a different chr_failed	properly paired_passed	paired in sequencing_passed	singletons_failed	secondary_failed	singletons_failed_pct
TCGA-AB-2818.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.2e4.1.Dupl_flagstats	146620526.0	6458172.0	28100897.0	37550526.0	20964569.0	62240967.0	18775263.0	62240967.0	0.0	43272012.0	92.66	3170805.0	0.0	2.55	57.79	96.09	0.0	14335708.0	25005873.0	152582831.0	14335708.0	195854843.0	0.0	38.18	0.0	115348824.0	18775263.0	0.0	115348824.0	124481934.0	4948679.0	5721486.0	13.18
TCGA-AB-2819.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.b73.Dupl_flagstats	173405788.0	10924917.0	42587708.0	32418702.0	58936859.0	71830586.0	16209351.0	71830586.0	0.0	38834664.0	88.27	4010034.0	0.0	2.79	59.68	93.1	0.0	12764300.0	23178029.0	186248880.0	12764300.0	225083544.0	0.0	39.37	0.0	126808046.0	16209351.0	0.0	126808046.0	143661172.0	3997767.0	6415962.0	12.33
TCGA-AB-2820.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.4a3.Dupl_flagstats	123139312.0	1253114.0	24368800.0	14267262.0	7476763.0	53022785.0	7133631.0	53022785.0	0.0	16535876.0	91.09	2175202.0	0.0	2.05	57.85	94.42	0.0	5597898.0	9566057.0	130414370.0	5597898.0	146950246.0	0.0	39.24	0.0	96595310.0	7133631.0	0.0	96595310.0	106045570.0	1699545.0	2268614.0	11.91
TCGA-AB-2821.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.5ee.Dupl_flagstats	148381685.0	1553766.0	30486337.0	14917880.0	10504329.0	62166691.0	7458940.0	62166691.0	0.0	17448413.0	92.85	2447666.0	0.0	1.97	61.59	95.84	0.0	6407106.0	10747002.0	154819719.0	6407106.0	172268132.0	0.0	42.95	0.0	115447682.0	7458940.0	0.0	115447682.0	124333382.0	1809363.0	2530533.0	12.13
TCGA-AB-2822.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.feb.Dupl_flagstats	171755171.0	8009422.0	42464718.0	31895282.0	38208148.0	69968757.0	15947641.0	69968757.0	0.0	38021139.0	89.92	3465159.0	0.0	2.48	60.21	94.16	0.0	12962530.0	22890844.0	182402232.0	12962530.0	220423371.0	0.0	40.64	0.0	125825294.0	15947641.0	0.0	125825294.0	139937514.0	3802457.0	6125857.0	11.92
TCGA-AB-2823.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.375.Dupl_flagstats	150667544.0	4022724.0	29155840.0	28409022.0	15961965.0	63079970.0	14204511.0	63079970.0	0.0	32970429.0	94.6	2170204.0	0.0	1.72	60.84	97.01	0.0	12304110.0	20059085.0	155315780.0	12304110.0	188286209.0	0.0	43.31	0.0	119341500.0	14204511.0	0.0	119341500.0	126159940.0	3193568.0	4561407.0	11.24
TCGA-AB-2825.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.d5d.Dupl_flagstats	131552815.0	2175555.0	28467740.0	21427512.0	9597088.0	57216993.0	10713756.0	57216993.0	0.0	24890224.0	87.52	2937317.0	0.0	2.57	58.67	92.06	0.0	8474980.0	14603101.0	142901726.0	8474980.0	167791950.0	0.0	39.55	0.0	100147758.0	10713756.0	0.0	100147758.0	114433986.0	2665409.0	3462712.0	12.44
TCGA-AB-2826.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.eb1.1.Dupl_flagstats	139314050.0	15922925.0	30852578.0	44057908.0	56785997.0	58719247.0	22028954.0	58719247.0	0.0	51838051.0	88.88	4078928.0	0.0	3.47	59.36	93.95	0.0	16226932.0	30770010.0	148291072.0	16226932.0	200129123.0	0.0	36.83	0.0	104382544.0	22028954.0	0.0	104382544.0	117438494.0	6762935.0	7780143.0	15.35
TCGA-AB-2828.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.6d6.Dupl_flagstats	164098936.0	10148710.0	39370398.0	32155764.0	54125976.0	69760280.0	16077882.0	69760280.0	0.0	38639257.0	86.87	3526322.0	0.0	2.53	57.97	91.73	0.0	11960898.0	22399206.0	178890958.0	11960898.0	217530215.0	0.0	37.2	0.0	121202216.0	16077882.0	0.0	121202216.0	139520560.0	3954815.0	6483493.0	12.3
TCGA-AB-2830.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.0c9.Dupl_flagstats	142482177.0	1905705.0	31488356.0	17093540.0	12041296.0	59768298.0	8546770.0	59768298.0	0.0	20234763.0	91.04	2168537.0	0.0	1.81	59.46	94.34	0.0	7001046.0	12031953.0	151024952.0	7001046.0	171259715.0	0.0	40.96	0.0	108825284.0	8546770.0	0.0	108825284.0	119536596.0	1889684.0	3141223.0	11.05
TCGA-AB-2834.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.9f7.Dupl_flagstats	158765543.0	10256591.0	35121648.0	32509862.0	57280411.0	66569433.0	16254931.0	66569433.0	0.0	38137340.0	89.51	4471851.0	0.0	3.36	55.9	94.36	0.0	11623068.0	21318606.0	168260514.0	11623068.0	206397854.0	0.0	35.75	0.0	119172044.0	16254931.0	0.0	119172044.0	133138866.0	4068060.0	5627478.0	12.51
TCGA-AB-2835.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.d97.Dupl_flagstats	148670706.0	3105241.0	33935090.0	24875822.0	14899614.0	62588982.0	12437911.0	62588982.0	0.0	28686120.0	89.67	2484480.0	0.0	1.98	53.69	93.44	0.0	9127420.0	15402486.0	159113054.0	9127420.0	187799174.0	0.0	36.69	0.0	112251136.0	12437911.0	0.0	112251136.0	125177964.0	2464768.0	3810298.0	9.91
TCGA-AB-2836.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.bc5.1.Dupl_flagstats	136969405.0	2513132.0	28691063.0	24131356.0	9844174.0	57860311.0	12065678.0	57860311.0	0.0	27824137.0	91.26	2667558.0	0.0	2.31	58.4	94.85	0.0	9572654.0	16249199.0	144411685.0	9572654.0	172235822.0	0.0	39.67	0.0	105610784.0	12065678.0	0.0	105610784.0	115720622.0	2983764.0	3692781.0	12.36
TCGA-AB-2839.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.da1.1.Dupl_flagstats	158975872.0	5762433.0	33981443.0	28419178.0	28084433.0	69658298.0	14209589.0	69658298.0	0.0	33500821.0	87.32	3342325.0	0.0	2.4	61.15	91.74	0.0	12060800.0	20487057.0	173298039.0	12060800.0	206798860.0	0.0	42.44	0.0	121652104.0	14209589.0	0.0	121652104.0	139316596.0	3344614.0	5081643.0	11.77
TCGA-AB-2840.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.3e8.Dupl_flagstats	164091115.0	9200128.0	45057866.0	23959846.0	74718669.0	65834647.0	11979923.0	65834647.0	0.0	29151853.0	87.16	4267997.0	0.0	3.24	59.43	92.85	0.0	8664590.0	17325265.0	176727160.0	8664590.0	205879013.0	0.0	36.16	0.0	114765252.0	11979923.0	0.0	114765252.0	131669294.0	3468668.0	5192007.0	14.48
TCGA-AB-2841.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.41e.Dupl_flagstats	161613675.0	9297368.0	47808625.0	38506634.0	50175077.0	78714579.0	19253317.0	78714579.0	0.0	45608082.0	71.07	1926752.0	0.0	1.22	48.71	78.74	0.0	12226186.0	22216536.0	205237783.0	12226186.0	250845865.0	0.0	31.75	0.0	111878298.0	19253317.0	0.0	111878298.0	157429158.0	2888902.0	7101448.0	7.5
TCGA-AB-2842.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.540.Dupl_flagstats	157085703.0	17207275.0	32395535.0	58452450.0	48354429.0	66702223.0	29226225.0	66702223.0	0.0	67321220.0	90.28	4257194.0	0.0	3.19	55.98	94.74	0.0	21734606.0	37683780.0	165799981.0	21734606.0	233121201.0	0.0	37.18	0.0	120432974.0	29226225.0	0.0	120432974.0	133404446.0	7080404.0	8868770.0	12.11
TCGA-AB-2843.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.b0e.Dupl_flagstats	102207862.0	1278674.0	28816672.0	17273880.0	8718392.0	50107662.0	8636940.0	50107662.0	0.0	19976263.0	71.04	2200144.0	0.0	2.2	42.46	79.21	0.0	4462090.0	8482793.0	129031996.0	4462090.0	149008259.0	0.0	25.83	0.0	71191046.0	8636940.0	0.0	71191046.0	100215324.0	1318320.0	2702383.0	7.63
TCGA-AB-2844.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.7e3.Dupl_flagstats	143180530.0	5250943.0	30512912.0	29936528.0	21589322.0	62491564.0	14968264.0	62491564.0	0.0	35234514.0	88.21	2415326.0	0.0	1.93	58.33	92.08	0.0	12054626.0	20553698.0	155496040.0	12054626.0	190730554.0	0.0	40.27	0.0	110252292.0	14968264.0	0.0	110252292.0	124983128.0	3201086.0	5297986.0	10.69
TCGA-AB-2845.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.ec0.Dupl_flagstats	149558374.0	3975690.0	30200310.0	30854282.0	17825512.0	61984285.0	15427141.0	61984285.0	0.0	35046649.0	94.4	2330292.0	0.0	1.88	50.8	97.01	0.0	10714080.0	17803360.0	154168880.0	10714080.0	189215529.0	0.0	34.72	0.0	117027772.0	15427141.0	0.0	117027772.0	123968570.0	2896913.0	4192367.0	9.39
TCGA-AB-2846.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.0c8.1.Dupl_flagstats	150956455.0	2757917.0	31771645.0	26232562.0	10681889.0	62689059.0	13116281.0	62689059.0	0.0	30819742.0	92.92	2678732.0	0.0	2.14	61.43	96.06	0.0	11404596.0	18933050.0	157149763.0	11404596.0	187969505.0	0.0	43.47	0.0	116506078.0	13116281.0	0.0	116506078.0	125378118.0	2941274.0	4587180.0	11.21
TCGA-AB-2847.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.428.Dupl_flagstats	150384377.0	3688716.0	32109243.0	29438742.0	15116916.0	64021927.0	14719371.0	64021927.0	0.0	34678064.0	90.08	2935846.0	0.0	2.29	60.07	93.9	0.0	12305480.0	20832609.0	160153097.0	12305480.0	194831161.0	0.0	41.8	0.0	115339288.0	14719371.0	0.0	115339288.0	128043854.0	3287807.0	5239322.0	11.17
TCGA-AB-2849.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.305.Dupl_flagstats	150008683.0	11469661.0	29300625.0	68236494.0	21763290.0	63152129.0	34118247.0	63152129.0	0.0	77823955.0	92.81	3481132.0	0.0	2.76	55.34	96.4	0.0	25275616.0	43068181.0	155604883.0	25275616.0	233428838.0	0.0	37.04	0.0	117226926.0	34118247.0	0.0	117226926.0	126304258.0	8205104.0	9587461.0	12.02
TCGA-AB-2851.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.f11.Dupl_flagstats	140592110.0	2415347.0	30603214.0	22065114.0	13211507.0	59197762.0	11032557.0	59197762.0	0.0	25190595.0	91.16	2061276.0	0.0	1.74	52.4	94.36	0.0	7962324.0	13199644.0	148998738.0	7962324.0	174189333.0	0.0	36.09	0.0	107927620.0	11032557.0	0.0	107927620.0	118395524.0	2111839.0	3125481.0	9.57
TCGA-AB-2853.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.854.Dupl_flagstats	144415633.0	13186817.0	30186635.0	54678230.0	35126690.0	61177710.0	27339115.0	61177710.0	0.0	63253876.0	89.83	4314134.0	0.0	3.53	55.35	94.67	0.0	19226864.0	35008118.0	152542055.0	19226864.0	215795931.0	0.0	35.16	0.0	109914864.0	27339115.0	0.0	109914864.0	122355420.0	7205608.0	8575646.0	13.18
TCGA-AB-2856.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.14f.Dupl_flagstats	129955654.0	2073599.0	28329806.0	13138622.0	15982279.0	56318726.0	6569311.0	56318726.0	0.0	15694265.0	87.18	3423964.0	0.0	3.04	60.02	92.19	0.0	5243234.0	9419020.0	140967258.0	5243234.0	156661523.0	0.0	39.91	0.0	98201884.0	6569311.0	0.0	98201884.0	112637452.0	1620143.0	2555643.0	12.33
TCGA-AB-2857.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.d37.Dupl_flagstats	144548934.0	2324772.0	32083354.0	21370734.0	12246085.0	60487362.0	10685367.0	60487362.0	0.0	24704335.0	90.51	2972096.0	0.0	2.46	54.65	94.44	0.0	7987526.0	13502104.0	153058078.0	7987526.0	177762413.0	0.0	37.38	0.0	109493484.0	10685367.0	0.0	109493484.0	120974724.0	2180977.0	3333601.0	10.21
TCGA-AB-2858.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.e38.Dupl_flagstats	148918751.0	2918898.0	33455529.0	20209764.0	17708884.0	62454975.0	10104882.0	62454975.0	0.0	24051192.0	90.19	2801178.0	0.0	2.24	61.83	94.03	0.0	8724334.0	14870414.0	158365479.0	8724334.0	182416671.0	0.0	43.17	0.0	112662044.0	10104882.0	0.0	112662044.0	124909950.0	2304652.0	3841428.0	11.4
TCGA-AB-2859.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.180.Dupl_flagstats	134006890.0	2529690.0	25434059.0	25490760.0	11103055.0	62491389.0	12745380.0	62491389.0	0.0	28897450.0	85.18	2108797.0	0.0	1.69	51.98	89.09	0.0	9189938.0	15020091.0	150416837.0	9189938.0	179314287.0	0.0	36.05	0.0	106464034.0	12745380.0	0.0	106464034.0	124982778.0	2423463.0	3406690.0	9.51
TCGA-AB-2861.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.18c.Dupl_flagstats	142735495.0	2573933.0	31036492.0	20084184.0	17037664.0	60226154.0	10042092.0	60226154.0	0.0	23309973.0	90.18	3077597.0	0.0	2.56	53.73	94.22	0.0	7250776.0	12524245.0	151488800.0	7250776.0	174798773.0	0.0	36.1	0.0	108621406.0	10042092.0	0.0	108621406.0	120452308.0	2047680.0	3225789.0	10.2
TCGA-AB-2862.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.76e.Dupl_flagstats	126437977.0	2647351.0	30933179.0	24584228.0	12881146.0	61390600.0	12292114.0	61390600.0	0.0	28702715.0	75.59	2697634.0	0.0	2.2	52.75	82.26	0.0	8594668.0	15141867.0	153714379.0	8594668.0	182417094.0	0.0	34.96	0.0	92807164.0	12292114.0	0.0	92807164.0	122781200.0	2428712.0	4118487.0	9.88
TCGA-AB-2863.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.5bd.1.Dupl_flagstats	157838531.0	8361924.0	32752857.0	34604672.0	35911102.0	66315883.0	17302336.0	66315883.0	0.0	40216288.0	91.39	3874062.0	0.0	2.92	57.02	95.44	0.0	13208314.0	22931410.0	165384623.0	13208314.0	205600911.0	0.0	38.17	0.0	121211612.0	17302336.0	0.0	121211612.0	132631766.0	4111480.0	5611616.0	11.88
TCGA-AB-2865.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.942.1.Dupl_flagstats	125119833.0	1844773.0	28755667.0	22907002.0	8310113.0	60369066.0	11453501.0	60369066.0	0.0	26245459.0	78.02	2161826.0	0.0	1.79	51.6	83.7	0.0	8128214.0	13542533.0	149493799.0	8128214.0	175739258.0	0.0	35.48	0.0	94202340.0	11453501.0	0.0	94202340.0	120738132.0	2075862.0	3338457.0	9.06
TCGA-AB-2866.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.3a4.Dupl_flagstats	132680226.0	2391679.0	28086050.0	24140100.0	9957137.0	55343994.0	12070050.0	55343994.0	0.0	27684792.0	92.71	1972206.0	0.0	1.78	55.63	95.61	0.0	9267942.0	15400399.0	138774038.0	9267942.0	166458830.0	0.0	38.39	0.0	102621970.0	12070050.0	0.0	102621970.0	110687988.0	2587765.0	3544692.0	10.72
TCGA-AB-2867.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.7c2.1.Dupl_flagstats	144585056.0	14739257.0	30985772.0	42255696.0	54563681.0	60661926.0	21127848.0	60661926.0	0.0	49666090.0	90.6	3685332.0	0.0	3.04	59.13	94.93	0.0	15818252.0	29367887.0	152309624.0	15818252.0	201975714.0	0.0	37.43	0.0	109913952.0	21127848.0	0.0	109913952.0	121323852.0	6139241.0	7410394.0	14.53
TCGA-AB-2869.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.449.1.Dupl_flagstats	143120628.0	2331796.0	31513578.0	24280488.0	10684564.0	59794424.0	12140244.0	59794424.0	0.0	28209357.0	90.91	2893492.0	0.0	2.42	55.93	94.72	0.0	9058388.0	15777929.0	151102426.0	9058388.0	179311783.0	0.0	37.31	0.0	108713558.0	12140244.0	0.0	108713558.0	119588848.0	2790672.0	3928869.0	11.49
TCGA-AB-2870.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.8ee.Dupl_flagstats	136310689.0	1652465.0	27266880.0	15568332.0	10463369.0	58613888.0	7784166.0	58613888.0	0.0	17944478.0	90.04	3489879.0	0.0	2.98	58.13	94.34	0.0	6141106.0	10430252.0	144494656.0	6141106.0	162439134.0	0.0	39.45	0.0	105553930.0	7784166.0	0.0	105553930.0	117227776.0	1913000.0	2376146.0	12.29
TCGA-AB-2871.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.0f9.Dupl_flagstats	134716726.0	1929985.0	28898675.0	21086144.0	9606278.0	56662829.0	10543072.0	56662829.0	0.0	24340743.0	91.02	2665067.0	0.0	2.35	54.99	94.72	0.0	7756062.0	13386058.0	142224333.0	7756062.0	166565076.0	0.0	36.78	0.0	103152984.0	10543072.0	0.0	103152984.0	113325658.0	2375397.0	3254599.0	11.27
TCGA-AB-2872.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.e9d.1.Dupl_flagstats	166855226.0	4526932.0	36888956.0	27884174.0	24956989.0	67740434.0	13942087.0	67740434.0	0.0	32911132.0	93.88	2780422.0	0.0	2.05	58.13	96.8	0.0	11083738.0	19132795.0	172369824.0	11083738.0	205280956.0	0.0	39.75	0.0	127185848.0	13942087.0	0.0	127185848.0	135480868.0	3022099.0	5026958.0	10.84
TCGA-AB-2873.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.df8.Dupl_flagstats	142234832.0	2306660.0	27276717.0	23552558.0	10008108.0	61289191.0	11776279.0	61289191.0	0.0	26970533.0	91.4	2917293.0	0.0	2.38	55.74	94.91	0.0	8906744.0	15033865.0	149855099.0	8906744.0	176825632.0	0.0	37.82	0.0	112040822.0	11776279.0	0.0	112040822.0	122578382.0	2709146.0	3417975.0	11.5
TCGA-AB-2874.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.3b7.1.Dupl_flagstats	125503847.0	2739141.0	24956438.0	27856794.0	8868521.0	53453069.0	13928397.0	53453069.0	0.0	32194265.0	90.98	3280313.0	0.0	3.07	54.78	95.18	0.0	10141618.0	17635970.0	131862576.0	10141618.0	164056841.0	0.0	36.41	0.0	97267096.0	13928397.0	0.0	97267096.0	106906138.0	3156881.0	4337471.0	11.33
TCGA-AB-2875.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.064.Dupl_flagstats	144959539.0	2384606.0	30667806.0	23000384.0	11423204.0	60208784.0	11500192.0	60208784.0	0.0	26534238.0	92.68	2683481.0	0.0	2.23	55.52	95.95	0.0	8750674.0	14732225.0	151085374.0	8750674.0	177619612.0	0.0	38.05	0.0	111608252.0	11500192.0	0.0	111608252.0	120417568.0	2447697.0	3533854.0	10.64
TCGA-AB-2876.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.6c9.Dupl_flagstats	154607194.0	12236336.0	32960315.0	37397320.0	48855572.0	65130295.0	18698660.0	65130295.0	0.0	44226285.0	90.02	4382459.0	0.0	3.36	60.59	94.72	0.0	15144630.0	26798488.0	163220905.0	15144630.0	207447190.0	0.0	40.5	0.0	117264420.0	18698660.0	0.0	117264420.0	130260590.0	4824893.0	6828965.0	12.9
TCGA-AB-2877.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.5ed.Dupl_flagstats	129410374.0	3073084.0	22836137.0	31693076.0	9430160.0	57311212.0	15846538.0	57311212.0	0.0	36105301.0	89.21	4321367.0	0.0	3.77	54.5	94.15	0.0	11360842.0	19676781.0	137458561.0	11360842.0	173563862.0	0.0	35.85	0.0	102252870.0	15846538.0	0.0	102252870.0	114622424.0	3903714.0	4412225.0	12.32
TCGA-AB-2878.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.142.Dupl_flagstats	161633939.0	12213684.0	37005989.0	34335002.0	58732676.0	66905054.0	17167501.0	66905054.0	0.0	40810282.0	89.74	4552982.0	0.0	3.4	60.57	94.62	0.0	13785502.0	24720711.0	170816097.0	13785502.0	211626379.0	0.0	40.15	0.0	120074968.0	17167501.0	0.0	120074968.0	133810108.0	4459929.0	6475280.0	12.99
TCGA-AB-2880.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.be4.Dupl_flagstats	129059945.0	2879865.0	25208691.0	29512638.0	9416003.0	54843397.0	14756319.0	54843397.0	0.0	34132766.0	91.94	3008738.0	0.0	2.74	55.46	95.67	0.0	10991484.0	18930289.0	134895485.0	10991484.0	169028251.0	0.0	37.24	0.0	100842516.0	14756319.0	0.0	100842516.0	109686794.0	3318677.0	4620128.0	11.24
TCGA-AB-2881.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.301.2.Dupl_flagstats	151521554.0	3078072.0	31350886.0	28173524.0	12158674.0	63567146.0	14086762.0	63567146.0	0.0	32892692.0	92.22	2931096.0	0.0	2.31	57.56	95.61	0.0	10965326.0	18931635.0	158485178.0	10965326.0	191377870.0	0.0	38.92	0.0	117239572.0	14086762.0	0.0	117239572.0	127134292.0	3247141.0	4719168.0	11.53
TCGA-AB-2882.PrimaryBloodDerivedCancer-PeripheralBlood.RNA.b92.Dupl_flagstats	150073607.0	3175800.0	23792053.0	28452668.0	14405620.0	65248060.0	14226334.0	65248060.0	0.0	31843019.0	94.77	2612660.0	0.0	2.0	53.1	97.27	0.0	10632682.0	16907765.0	154288173.0	10632682.0	186131192.0	0.0	37.37	0.0	123668894.0	14226334.0	0.0	123668894.0	130496120.0	2884732.0	3390351.0	10.14
